entity type,inventory source,inventory path
instance,conf/redis,aof-load-truncated
instance,conf/redis,aof-rewrite-incremental-fsync
instance,conf/redis,appendfsync
instance,conf/redis,appendonly
instance,conf/redis,auto-aof-rewrite-min-size
instance,conf/redis,auto-aof-rewrite-percentage
instance,conf/redis,bind
instance,conf/redis,client-output-buffer-limit
instance,conf/redis,cluster-migration-barrier
instance,conf/redis,cluster-node-timeout
instance,conf/redis,cluster-require-full-coverage
instance,conf/redis,cluster-slave-validity-factor
instance,conf/redis,config-file
instance,conf/redis,daemonize
instance,conf/redis,databases
instance,conf/redis,dbfilename
instance,conf/redis,dir
instance,conf/redis,executable
instance,conf/redis,hash-max-ziplist-entries
instance,conf/redis,hash-max-ziplist-value
instance,conf/redis,hll-sparse-max-bytes
instance,conf/redis,hz
instance,conf/redis,latency-monitor-threshold
instance,conf/redis,list-compress-depth
instance,conf/redis,list-max-ziplist-size
instance,conf/redis,logfile
instance,conf/redis,loglevel
instance,conf/redis,lua-time-limit
instance,conf/redis,masterauth
instance,conf/redis,maxclients
instance,conf/redis,maxmemory
instance,conf/redis,maxmemory-policy
instance,conf/redis,maxmemory-samples
instance,conf/redis,mem-allocator
instance,conf/redis,min-slaves-max-lag
instance,conf/redis,min-slaves-to-write
instance,conf/redis,no-appendfsync-on-rewrite
instance,conf/redis,notify-keyspace-events
instance,conf/redis,pidfile
instance,conf/redis,port
instance,conf/redis,protected-mode
instance,conf/redis,rdbchecksum
instance,conf/redis,rdbcompression
instance,conf/redis,redis_version
instance,conf/redis,repl-backlog-size
instance,conf/redis,repl-backlog-ttl
instance,conf/redis,repl-disable-tcp-nodelay
instance,conf/redis,repl-diskless-sync
instance,conf/redis,repl-diskless-sync-delay
instance,conf/redis,repl-ping-slave-period
instance,conf/redis,repl-timeout
instance,conf/redis,requirepass
instance,conf/redis,save
instance,conf/redis,set-max-intset-entries
instance,conf/redis,slave-announce-ip
instance,conf/redis,slave-announce-port
instance,conf/redis,slave-priority
instance,conf/redis,slave-read-only
instance,conf/redis,slave-serve-stale-data
instance,conf/redis,slaveof
instance,conf/redis,slowlog-log-slower-than
instance,conf/redis,slowlog-max-len
instance,conf/redis,stop-writes-on-bgsave-error
instance,conf/redis,supervised
instance,conf/redis,syslog-facility
instance,conf/redis,tcp-backlog
instance,conf/redis,tcp-keepalive
instance,conf/redis,timeout
instance,conf/redis,unixsocket
instance,conf/redis,unixsocketperm
instance,conf/redis,watchdog-period
instance,conf/redis,zset-max-ziplist-entries
instance,conf/redis,zset-max-ziplist-value
